BIB NUMBER,GENDER,EVENT NAME,PERFORMANCE TYPE,RESULT
101,Male,100m,TIME,10.87
102,Male,200m,TIME,21.44
103,Male,400m,TIME,48.90
104,Male,800m,TIME,1:52.30
105,Male,1500m,TIME,3:55.10
106,Male,110m Hurdles,TIME,14.55
107,Male,Long Jump,DISTANCE,7.35
108,Male,Shot Put,DISTANCE,16.20
109,Male,Javelin Throw,DISTANCE,68.40
110,Male,High Jump,DISTANCE,2.10
201,Female,100m,TIME,11.90
202,Female,200m,TIME,24.30
203,Female,400m,TIME,54.20
204,Female,800m,TIME,2:05.31
205,Female,100m Hurdles,TIME,13.85
206,Female,Long Jump,DISTANCE,6.35
207,Female,Shot Put,DISTANCE,14.10
208,Female,Javelin Throw,DISTANCE,52.35
209,Female,High Jump,DISTANCE,1.82
210,Female,1500m,TIME,4:15.60
101,Male,Long Jump,DISTANCE,7.10
101,Male,200m,TIME,21.90
201,Female,200m,TIME,24.10
201,Female,Long Jump,DISTANCE,5.95
901,Male,Tug of War,DISTANCE,5.00
902,Female,100m,TIME,not-a-time
,Male,100m,TIME,10.50
